item,source_path,release_path,status,description
Figure10_transfer_grid_OVERALL_manifest.csv,$WORK/ines/results/BrainAgeValidation_AllCohorts_BAGBiasCorr_OOFGlobal_BiologicalValidation/Figure10_cross_cohort_transferability_ALL_MODELS/transfer_grid_OVERALL_manifest.csv,$WORK/ines/publication_release/logs_or_manifests/Figure10_transfer_grid_OVERALL_manifest.csv,copied_sanitized,Overall manifest for all-model cross-cohort transferability grid.
Figure10_combined_transfer_grid_metrics.csv,$WORK/ines/results/BrainAgeValidation_AllCohorts_BAGBiasCorr_OOFGlobal_BiologicalValidation/Figure10_cross_cohort_transferability_ALL_MODELS/combined_transfer_grid_metrics.csv,$WORK/ines/publication_release/logs_or_manifests/Figure10_combined_transfer_grid_metrics.csv,copied_sanitized,Combined transfer-grid metrics across feature sets.
Figure10_combined_transfer_grid_compatibility.csv,$WORK/ines/results/BrainAgeValidation_AllCohorts_BAGBiasCorr_OOFGlobal_BiologicalValidation/Figure10_cross_cohort_transferability_ALL_MODELS/combined_transfer_grid_compatibility.csv,$WORK/ines/publication_release/logs_or_manifests/Figure10_combined_transfer_grid_compatibility.csv,copied_sanitized,Combined compatibility table for transfer-grid cells.
Figure10_ALL_MODELS_compatibility_cells.csv,$WORK/ines/results/BrainAgeValidation_AllCohorts_BAGBiasCorr_OOFGlobal_BiologicalValidation/Figure10_cross_cohort_transferability_ALL_MODELS/Figure10_ALL_MODELS_compatibility_cells.csv,$WORK/ines/publication_release/logs_or_manifests/Figure10_ALL_MODELS_compatibility_cells.csv,copied_sanitized,Compatibility-cell summary for all-model transfer grid.
Figure10_ALL_MODELS_external_vs_diagonal_summary.csv,$WORK/ines/results/BrainAgeValidation_AllCohorts_BAGBiasCorr_OOFGlobal_BiologicalValidation/Figure10_cross_cohort_transferability_ALL_MODELS/Figure10_ALL_MODELS_external_vs_diagonal_summary.csv,$WORK/ines/publication_release/logs_or_manifests/Figure10_ALL_MODELS_external_vs_diagonal_summary.csv,copied_sanitized,External-transfer versus within-cohort diagonal summary.
Figure10_ALL_MODELS_transferability_QC_summary.csv,$WORK/ines/results/BrainAgeValidation_AllCohorts_BAGBiasCorr_OOFGlobal_BiologicalValidation/Figure10_cross_cohort_transferability_ALL_MODELS/Figure10_ALL_MODELS_transferability_QC_summary.csv,$WORK/ines/publication_release/logs_or_manifests/Figure10_ALL_MODELS_transferability_QC_summary.csv,copied_sanitized,QC summary for all-model transferability outputs.
Figure10_imaging_only_transfer_grid_manifest.csv,$WORK/ines/results/BrainAgeValidation_AllCohorts_BAGBiasCorr_OOFGlobal_BiologicalValidation/Figure10_cross_cohort_transferability_ALL_MODELS/imaging_only/transfer_grid_manifest.csv,$WORK/ines/publication_release/logs_or_manifests/Figure10_imaging_only_transfer_grid_manifest.csv,copied_sanitized,Imaging-only transfer-grid manifest.
Figure10_imaging_only_transfer_grid_metrics.csv,$WORK/ines/results/BrainAgeValidation_AllCohorts_BAGBiasCorr_OOFGlobal_BiologicalValidation/Figure10_cross_cohort_transferability_ALL_MODELS/imaging_only/transfer_grid_metrics.csv,$WORK/ines/publication_release/logs_or_manifests/Figure10_imaging_only_transfer_grid_metrics.csv,copied_sanitized,Imaging-only transfer-grid metrics.
Figure10_imaging_only_transfer_grid_metrics_RAW_vs_cBAG.csv,$WORK/ines/results/BrainAgeValidation_AllCohorts_BAGBiasCorr_OOFGlobal_BiologicalValidation/Figure10_cross_cohort_transferability_ALL_MODELS/imaging_only/transfer_grid_metrics_RAW_vs_cBAG.csv,$WORK/ines/publication_release/logs_or_manifests/Figure10_imaging_only_transfer_grid_metrics_RAW_vs_cBAG.csv,copied_sanitized,Imaging-only raw predicted-age versus cBAG transfer metrics.
Figure10_full_transfer_grid_manifest.csv,$WORK/ines/results/BrainAgeValidation_AllCohorts_BAGBiasCorr_OOFGlobal_BiologicalValidation/Figure10_cross_cohort_transferability_ALL_MODELS/full/transfer_grid_manifest.csv,$WORK/ines/publication_release/logs_or_manifests/Figure10_full_transfer_grid_manifest.csv,copied_sanitized,Full-model transfer-grid manifest.
Figure10_full_transfer_grid_metrics.csv,$WORK/ines/results/BrainAgeValidation_AllCohorts_BAGBiasCorr_OOFGlobal_BiologicalValidation/Figure10_cross_cohort_transferability_ALL_MODELS/full/transfer_grid_metrics.csv,$WORK/ines/publication_release/logs_or_manifests/Figure10_full_transfer_grid_metrics.csv,copied_sanitized,Full-model transfer-grid metrics.
Figure10_full_no_cardiovascular_transfer_grid_manifest.csv,$WORK/ines/results/BrainAgeValidation_AllCohorts_BAGBiasCorr_OOFGlobal_BiologicalValidation/Figure10_cross_cohort_transferability_ALL_MODELS/full_no_cardiovascular/transfer_grid_manifest.csv,$WORK/ines/publication_release/logs_or_manifests/Figure10_full_no_cardiovascular_transfer_grid_manifest.csv,copied_sanitized,Full-no-cardiovascular transfer-grid manifest.
Figure10_full_no_cardiovascular_transfer_grid_metrics.csv,$WORK/ines/results/BrainAgeValidation_AllCohorts_BAGBiasCorr_OOFGlobal_BiologicalValidation/Figure10_cross_cohort_transferability_ALL_MODELS/full_no_cardiovascular/transfer_grid_metrics.csv,$WORK/ines/publication_release/logs_or_manifests/Figure10_full_no_cardiovascular_transfer_grid_metrics.csv,copied_sanitized,Full-no-cardiovascular transfer-grid metrics.
